cat_candidate_name,
JOSÉ MARIA DE ALMEIDA,91209
JOSÉ LEVY FIDELIX DA CRUZ,446878
MAURO LUÍS IASI,47845
LUCIANA KREBS GENRO,1612186
EDUARDO JORGE MARTINS ALVES SOBRINHO,630099
EVERALDO DIAS PEREIRA,780513
JOSE MARIA EYMAEL,61250
RUI COSTA PIMENTA,12324
DILMA VANA ROUSSEFF,43267668
AÉCIO NEVES DA CUNHA,34897211
MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,22176619
